Habitat Type,City ID,Habitat Unit,Study Number,Lat,Long,Area,Landscape,Veg,Owner
SWMP,SWF-1501,S1,S01,45.13919056,-75.71958208,0.293511,8.442054694,4,
SWMP,SWF-1228,S10,S02,45.34260876,-75.93590522,1.147442,52.11556506,4,
SWMP,SWF-1204,S12,S03,45.34215998,-75.90689379,0.575205,21.80288088,4,
SWMP,SWF-1205,S13,S04,45.31991194,-75.88953964,0.594176,20.56632817,3,
SWMP,SWF-1306,S19,S05,45.28550427,-75.88751304,1.42021,20.04411681,4,
SWMP,SWF-1315,S21,S06,45.28292318,-75.909709,0.309935,24.52049345,2,
SWMP,SWF-1320,S22,S07,45.27376755,-75.91390136,0.316422,16.04656095,4,
SWMP,SWF-1314,S23,S08,45.26753154,-75.91228048,1.531441,22.6807482,3,
SWMP,SWF-1312,S26,S09,45.25781769,-75.9318695,0.604844,26.11696027,3,
SWMP,SWF-1310,S27,S10,45.26999897,-75.94332358,0.559394,40.92113948,5,
SWMP,SWF-1705,S42,S11,45.29316536,-75.67287956,0.874702,26.36992207,5,
SWMP,SWF-1611,S46,S12,45.34561255,-75.69108906,0.684913,44.46508981,4,
SWMP,SWF-1610,S49,S13,45.35117235,-75.64516328,0.653356,15.51209208,2,
SWMP,SWF-1621,S50,S14,45.3435471,-75.62732018,0.714821,44.90849066,3,
SWMP,SWF-1616,S53,S15,45.36928207,-75.65286571,0.472586,18.08884404,4,
SWMP,SWF-1133,S55,S16,45.36834671,-75.73508761,0.69236,6.1329163,4,
SWMP,SWF-1121,S57,S17,45.3727088,-75.78669356,0.87303,47.12968387,5,
SWMP,SWF-1139,S58,S18,45.41843676,-75.71440388,0.476157,39.71384753,2,
SWMP,SWF-1235,S7,S19,45.36462574,-75.92311537,1.428752,27.26475697,5,
SWMP,SWF-1628,S72,S20,45.39919809,-75.65945873,0.03578196,8.107372667,6,
SWMP,SWF-1632,S81,S21,45.36431365,-75.68955762,0.376189272,22.94413898,3,
SWMP,SWF-1803,S82,S22,45.25701355,-75.54538841,0.281227736,60.24887775,5,
SWMP,SWF-1809,S83,S23,45.23181398,-75.59812789,0.161211936,56.36196424,3,
SWMP,SWF-1808,S84,S24,45.23123019,-75.59898733,0.2048582,57.6822333,2,
SWMP,SWF-1327,S88,S25,45.19269608,-75.821269,0.10803643,43.43656354,5,
SWMP,SWF-1342,S89,S26,45.19509163,-75.84367239,0.434389322,14.61351215,3,
SWMP,SWF-1439,S92,S27,45.29286222,-75.79069519,1.172985067,50.23219411,6,
SWMP,SWF-1951,S78,S28,45.49393201,-75.47753488,0.514643091,41.88246719,5,
SWMP,SWF-1127,S43,S29,45.33012503,-75.72882103,1.577162,41.84788374,3,
SWMP,SWF-1215,S9,S30,45.35293229,-75.92504029,1.20774,18.5026774,5,
Wetland,,WA1,W01,45.05546,-75.83707,0.582974925,97.95307776,2,
Wetland,,W112,W02,45.38363,-75.46072,0.310714876,97.53817778,2,
Wetland,,W98,W03,45.39238,-75.51166,1.270757465,99.28658915,2,
Wetland,,W67,W04,45.15244,-75.64046,0.565237073,54.90230016,3,
Wetland,,WA3,W05,45.2682,-76.10155,0.774743589,77.80839794,3,
Wetland,,W110,W06,45.38464,-75.46027,0.602444794,97.64226382,3,
Wetland,,W46,W07,45.34655,-75.84536,0.54457369,38.39275841,3,
Wetland,,W50,W08,45.29295,-75.82311,0.166502569,98.28689367,3,
Wetland,,W99,W09,45.39008,-75.52425,0.756416922,94.6527724,3,
Wetland,,WA16,W10,45.35981,-75.4628,0.511948737,82.29640461,4,
Wetland,,WA6,W11,45.39225,-76.0823,0.327693181,97.86882337,4,
Wetland,,D4b,W12,45.32583,-75.96906,0.390798695,59.28505892,4,
Wetland,,D4d,W13,45.32752,-75.97542,0.410340314,51.70030668,4,
Wetland,,W102,W14,45.40023,-75.54183,1.393611687,97.33523246,4,
Wetland,,W104,W15,45.4149,-75.5517,0.341075165,92.17103744,4,
Wetland,,W64,W16,45.24724,-75.61197,0.283917474,52.89525965,4,
Wetland,,WC4,W17,45.09793,-75.62845,0.19564862,57.3641065,4,
Wetland,,WA10,W18,45.24863,-75.77313,0.208036852,31.16403482,5,
Wetland,,WA5,W19,45.38861,-76.08139,0.730617015,98.78930627,5,
Wetland,,WA7,W20,45.42159,-76.11275,0.564361249,88.25899016,5,
Wetland,,D3,W21,45.52376,-75.35186,0.143793169,59.14297173,5,
Wetland,,W103,W22,45.41521,-75.54922,0.890909994,94.25704177,5,
Wetland,,W45,W23,45.34503,-75.84609,0.269047241,39.96922192,5,
Wetland,,WC1,W24,45.36545,-76.06141,1.212045291,81.11415214,5,
Wetland,,WC2,W25,45.36708,-76.06141,1.473925982,83.50792654,5,
Wetland,,WC3,W26,45.3640477,-76.063212,0.19,83.50792654,3,
Wetland,,W20,W27,45.393,-76.07918,1.145127261,99.01381815,6,
Wetland,,WR1,W28,45.2505783,-75.7681627,0.61,31.16403482,4,
Wetland,SWF-1335,S2,W29,45.1370039,-75.94596766,1.373119,22.75846379,6,
Wetland,SWF-1141,S54,W30,45.34215263,-75.76844032,1.57695,1.39617538,5,
Wetland,,D2,W31,45.15079626,-75.65322402,0.074581809,29.85958069,5,
