Habitat Unit,Join iD,Deciduous Tree,Coniferous Tree,Shrub,Lawn,Herbaceous,Robust Emergent,Emergent,Non-living,Impervious,Open Water,Other,
S1,S01,25,0,10,5,15,15,0,0,0,25,5,crop
S10,S02,5,5,10,20,20,10,0,0,10,10,0,
S12,S03,5,0,20,20,20,10,5,0,10,10,0,
S13,S04,20,0,10,0,25,10,20,0,15,0,0,
S19,S05,2.5,2.5,5,0,30,10,0,0,10,40,0,
S21,S06,5,0,5,30,20,5,0,0,15,20,0,
S22,S07,10,0,15,30,15,5,0,0,10,15,0,
S23,S08,10,0,5,35,5,5,0,0,5,35,0,
S26,S09,30,0,10,20,5,10,0,0,5,10,0,
S27,S10,5,5,10,10,40,5,0,0,5,20,0,
S42,S11,2.5,0,2.5,0,60,25,0,0,5,5,0,
S46,S12,15,10,20,0,15,0,5,0,5,30,0,
S49,S13,20,0,5,45,0,0,0,0,5,25,0,
S50,S14,20,0,0,20,10,10,5,0,5,30,0,
S53,S15,5,0,25,0,50,10,0,0,0,10,0,
S55,S16,10,0,10,25,5,30,0,0,10,10,0,
S57,S17,20,0,10,0,25,10,0,0,5,30,0,
S58,S18,5,5,10,40,10,0,0,0,10,20,0,
S7,S19,5,0,10,10,25,0,0,0,10,40,0,
S72,S20,20,5,10,0,25,10,0,5,0,25,0,
S81,S21,5,0,5,25,0,45,5,0,10,5,0,
S82,S22,5,0,10,5,35,10,0,0,5,30,0,
S83,S23,20,0,10,0,30,10,0,0,10,20,0,
S84,S24,25,0,15,0,30,5,0,0,5,20,0,
S88,S25,40,0,15,15,10,15,0,0,5,0,0,
S89,S26,5,0,5,15,20,5,0,0,25,25,0,
S92,S27,5,5,10,0,20,5,0,0,5,50,0,
S78,S28,10,0,10,0,5,0,0,0,65,10,0,
S43,S29,5,5,10,0,40,0,5,0,0,35,0,
S9,S30,15,0,10,10,5,30,0,0,10,20,0,
WA1,W01,1,4,5,0,20,45,15,0,0,10,0,
W112,W02,5,0,25,0,15,40,0,0,0,15,0,
W98,W03,5,5,10,0,0,50,0,0,0,30,0,
W67,W04,10,0,80,0,5,5,0,0,0,0,0,
WA3,W05,1,4,10,0,5,50,20,0,0,10,0,
W110,W06,15,0,20,0,5,40,0,0,0,30,0,
W46,W07,10,0,25,0,5,0,0,0,10,50,0,
W50,W08,0,10,5,0,0,65,0,0,0,20,0,
W99,W09,2.5,2.5,20,0,10,60,0,0,0,25,0,
WA16,W10,20,5,20,0,15,0,25,0,0,0,0,
WA6,W11,20,0,15,0,15,20,15,0,0,15,0,
D4A,W12,10,0,10,0,10,30,20,0,0,20,0,
D4B,W13,5,0,15,0,0,30,30,0,0,20,0,
W102,W14,25,0,20,0,15,25,0,0,0,25,0,
W104,W15,5,0,20,0,15,40,5,0,0,5,0,
W64,W16,40,0,20,0,10,10,0,0,0,20,0,
WC4,W17,15,0,20,30,10,5,0,0,0,20,0,
WA10,W18,10,5,40,0,15,0,10,0,0,20,0,
WA5,W19,20,10,15,0,10,10,15,0,0,15,0,
WA7,W20,5,20,25,0,5,0,20,5,0,20,0,
D3,W21,5,0,5,10,60,0,10,0,0,10,0,
W103,W22,5,0,10,0,25,40,0,0,0,20,0,
W45,W23,0,0,0,0,70,0,5,0,0,25,0,
WC1,W24,0,30,15,0,5,0,25,0,0,25,0,
WC2,W25,10,15,10,0,5,0,25,10,0,15,10,moss
WC3,W26,20,30,20,0,5,0,20,0,0,5,0,
W20,W27,20,0,10,0,20,10,20,0,0,20,0,
WR1,W28,15,0,5,0,30,0,10,0,0,40,0,
S2,W29,5,5,5,25,20,10,0,0,0,35,0,
S54,W30,10,0,10,10,5,20,0,0,5,40,0,
D2,W31,10,0,20,5,5,50,0,0,0,10,0,
